Grapheme	IPA
aírþeins	ɛ r θ i n s
airus	ɛ r u s
aírzei	ɛ r z i
aírzeis	ɛ r z i s
aírziþa	ɛ r z ɪ θ a
aírzj	ɛ r z j
aiskōn	ɛ s k o n
aist	ɛ s t
aiþei	ɛ θ i
aiþs	ɛ θ s
aíþþau	ɛ θː ɔ
aiw	ɛ w
aíwaggēli	ɛ w a ŋ ɡ e l ɪ
aíwaggēlista	ɛ w a ŋ ɡ e l ɪ s t a
aíwaggēlj	ɛ w a ŋ ɡ e l j
aíwaggēljō	ɛ w a ŋ ɡ e l j o
aiweins	ɛ w i n s
aiwiski	ɛ w ɪ s k ɪ
aiwiskōn	ɛ w ɪ s k o n
aiwisks	ɛ w ɪ s k s
aíwlaúgia	ɛ w l ɔ ɣ ɪ a
aiws	ɛ w s
aíwxaristia	ɛ w χ a r ɪ s t ɪ a
aiz	ɛ z
aiza	ɛ z a
aizasmiþa	ɛ z a s m ɪ θ a
ajukdūþs	a j u k d u θ s
ajuks	a j u k s
ak	a k
akei	a k i
akēt	a k e t
akr	a k r̥
akranalaus	a k r a n a l ɔ s
akrs	a k r̥ s
ala	a l a
alabalstraún	a l a β a l s t r ɔ n
alabrunsts	a l a β r u n s t s
alakjis	a l a k j ɪ s
alakjō	a l a k j o
alamans	a l a m a n s
al	a l
alaþarba	a l a θ a r b a
alauds	a l ɔ ð s
albs	a l b s
alda	a l d a
aldōmō	a l d o m o
aldr	a l d r̥
alds	a l d s
alduma	a l d u m a
aleina	a l i n a
alēw	a l e w
alēwabagms	a l e w a β a ɣ m̥ s
alēwja	a l e w j a
alh	a l h
alhs	a l h s
ali	a l ɪ
alisi	a l ɪ s ɪ
alisna	a l ɪ s n a
alisō	a l ɪ s o
aliþs	a l ɪ θ s
aliza	a l ɪ z a
alja	a l j a
aljakuns	a l j a k u n s
aljaleikō	a l j a l i k o
aljaleikōþs	a l j a l i k o θ s
aljaleiks	a l j a l i k s
alj	a l j
aljanōn	a l j a n o n
aljar	a l j a r
aljaþ	a l j a θ
aljaþrō	a l j a θ r o
aljis	a l j ɪ s
allandjis	a lː a n d j ɪ s
allandjō	a lː a n d j o
allaþrō	a lː a θ r o
allawaúrstwa	a lː a w ɔ r s t w a
allawērei	a lː a w e r i
allawēreis	a lː a w e r i s
allis	a lː ɪ s
alls	a lː s
allwaldands	a lː w a l d a n d s
alþ	a l θ
alþeis	a l θ i s
amals	a m a l s
amen	a m e n
ams	a m s
ana	a n a
anaauk	a n a ɔ k
anabiud	a n a β ɪ u ð
anabūsns	a n a β u s n̥ s
anadrigk	a n a ð r ɪ ŋ k
anafilh	a n a ɸ ɪ l h
anagagg	a n a ɣ a ŋ ɡ
anahab	a n a h a β
anahaimeis	a n a h ɛ m i s
anahait	a n a h ɛ t
anahamōn	a n a h a m o n
anahasp	a n a h a s p
anahnaiwj	a n a h n ɛ w j
anahneiw	a n a h n i w
anaƕeil	a n a ʍ i l
anainsak	a n ɛ n s a k
anakaúrj	a n a k ɔ r j
anaks	a n a k s
anakumbj	a n a k u m b j
anakunnains	a n a k u nː ɛ n s
anakunn	a n a k u nː
analageins	a n a l a ɣ i n s
analagj	a n a l a ɣ j
analatj	a n a l a t j
analaugnei	a n a l ɔ ɣ n i
analaugniba	a n a l ɔ ɣ n ɪ β a
analaugns	a n a l ɔ ɣ n̥ s
analeikō	a n a l i k o
analeiks	a n a l i k s
anamahtj	a n a m a h t j
anamahts	a n a m a h t s
anamēlj	a n a m e l j
anaminds	a n a m ɪ n d s
an	a n
ananamnj	a n a n a m n j
anananþj	a n a n a n θ j
ananauþj	a n a n ɔ θ j
ananiuj	a n a n ɪ u j
ananiujiþa	a n a n ɪ u j ɪ θ a
anapragg	a n a p r a ŋ ɡ
anaqal	a n a kʷ a l
anaqil	a n a kʷ ɪ l
anaqim	a n a kʷ ɪ m
anaqiss	a n a kʷ ɪ sː
anaqiþ	a n a kʷ ɪ θ
anaqiuj	a n a kʷ ɪ u j
anasil	a n a s ɪ l
anasiuniba	a n a s ɪ u n ɪ β a
anasiuns	a n a s ɪ u n s
anaslaw	a n a s l a w
anaslēp	a n a s l e p
anastōdeins	a n a s t o ð i n s
anastōdj	a n a s t o ð j
anatimrj	a n a t ɪ m r j
anatj	a n a t j
anatrimp	a n a t r ɪ m p
anaþaíma	a n a θ ɛ m a
anaþiw	a n a θ ɪ w
anaþrafstj	a n a θ r a ɸ s t j
anawaírþs	a n a w ɛ r θ s
