ID,Description,Entry_ID,Spacy,Parameter_ID
2118_erniedrigung-1,Erniedrigung,0,Erniedrigung,2118_erniedrigungdemut
2118_demut-2,Demut,0,Demut,2118_erniedrigungdemut
2119_demut-1,Demut,0,Demut,2119_demut
2120_erniedrigen-1,erniedrigen,0,erniedrigen,2120_erniedrigenniedrigmachen
2120_niedrigmachen-2,niedrig machen,0,niedrig machen,2120_erniedrigenniedrigmachen
2121_niedrig-1,niedrig,0,niedrig,2121_niedrigdemutig
2121_demutig-2,demütig,0,demütig,2121_niedrigdemutig
2122_tur-1,Tür,0,Tür,2122_turgeflochtenetur
2122_geflochtenetur-2,geflochtene Tür,0,geflochtene Tür,2122_turgeflochtenetur
2123_kohle-1,Kohle,0,Kohle,2123_kohlekohlenfeuer
2123_kohlenfeuer-2,Kohlenfeuer,0,,2123_kohlekohlenfeuer
2124_horn-1,Horn,0,Horn,2124_hornfruchtdesjohannisbrotbaumsbockshorn
2124_fruchtdesjohannisbrotbaums-2,Frucht des Johannisbrotbaums,0,Frucht des Johannisbrotbaums,2124_hornfruchtdesjohannisbrotbaumsbockshorn
2124_bockshorn-3,Bockshorn,0,Bockshorn,2124_hornfruchtdesjohannisbrotbaumsbockshorn
2125_hornblaser-1,Hornbläser,0,,2125_hornblaserhornist
2125_hornist-2,Hornist,0,Hornist,2125_hornblaserhornist
2126_hornblasen-1,hornblasen,0,,2126_hornblasendashornblasentrompeten
2126_dashornblasen-2,das Horn blasen,0,das Horn blasen,2126_hornblasendashornblasentrompeten
2126_trompeten-3,trompeten,0,trompeten,2126_hornblasendashornblasentrompeten
2127_gehor-1,Gehör,0,Gehör,2127_gehorohrdasgehortehorenpredigtgehorsam
2127_ohr-2,Ohr,0,Ohr,2127_gehorohrdasgehortehorenpredigtgehorsam
2127_dasgehorte-3,das Gehörte,0,das Gehörte,2127_gehorohrdasgehortehorenpredigtgehorsam
2127_horen-4,Hören,0,Hören,2127_gehorohrdasgehortehorenpredigtgehorsam
2127_predigt-5,Predigt,0,Predigt,2127_gehorohrdasgehortehorenpredigtgehorsam
2127_gehorsam-6,Gehorsam,0,Gehorsam,2127_gehorohrdasgehortehorenpredigtgehorsam
2128_horen-1,hören,0,hören,2128_horenanhorenzuhoren
2128_anhoren-2,anhören,0,anhören,2128_horenanhorenzuhoren
2128_zuhoren-3,zuhören,0,zuhören,2128_horenanhorenzuhoren
2129_horen-1,hören,0,hören,2129_horen
