ID,Name,Concepticon_ID,Concepticon_Gloss
117_drangsaltrubsal,"Drangsal, Trübsal",,
118_schadenbelastigen,"schaden, belästigen",2869,BOTHER (HARASS)
119_drangsal,Drangsal,,
120_schimpflich,schimpflich,,
121_schwerschwerlich,"schwer, schwerlich",1210,HEAVY
122_schwierig,schwierig,584,DIFFICULT
123_scharfspitz,"scharf, spitz",1396,SHARP
124_furchtsamangstlich,"furchtsam, ängstlich",,
125_sinnverstand,"Sinn, Verstand",1562,MIND
126_zahmeweietaubetaube,"zahme weiße Taube, Taube",1853,DOVE
127_spreu,Spreu,,
130_eingebunginspiration,"Eingebung, Inspiration",,
131_eingeben,eingeben,,
132_geistiggeistlich,"geistig, geistlich",,
133_ahre,Ähre,3244,EAR (OF GRAIN)
134_verstandigbesonnen,"verständig, besonnen",,
135_achseachselarune,"Achse, Achsel, aRune",,
136_acht,acht,1705,EIGHT
137_achttagig,achttägig,,
138_achtzehn,achtzehn,1713,EIGHTEEN
139_achtzig,achtzig,1722,EIGHTY
140_achte,achte,,
141_flussgewasser,"Fluss, Gewässer",666,RIVER
142_feuerbrand,"Feuer, Brand",221,FIRE
143_offnedich,öffne dich,,
145_haben,haben,773,HAVE
147_aneignen,aneignen,3892,ACQUIRE (SOMETHING)
148_eigen,eigen,,
149_klagebitte,"Klage, Bitte",,
150_betenbettelnerbittenfursichverlangen,"beten, betteln, erbitten, für sich verlangen",3534,BEG
151_bittegebet,"Bitte, Gebet",,
152_eigentumbesitzhabegut,"Eigentum, Besitz, Habe, Gut",1035,GOOD
153_pferdedorndornstrauch,"Pferdedorn, Dornstrauch",,
155_sprechen,sprechen,1623,SPEAK
156_kirchegotteshausgemeinde,"Kirche, Gotteshaus, Gemeinde",1349,CHURCH
157_eiche,Eiche,644,OAK
158_eloimeingott,"eloi, mein Gott",,
159_eingeboren,eingeboren,,
160_einzig,einzig,,
161_vereinzeltalleinstehendeinzeln,"vereinzelt, alleinstehend, einzeln",,
162_einheiteinmutigkeit,"Einheit, Einmütigkeit",,
164_einfaltig,einfältig,,
165_einfalteinfachheit,"Einfalt, Einfachheit",,
166_einfacheinfaltig,"einfach, einfältig",686,EASY
167_einjeder,ein jeder,,
170_einalleinigeineinzigereingewisserirgendeineinmal,"ein, alleinig, ein einziger, ein gewisser, irgendein, einmal",374,ONE TIME
171_irgendeinjederniemand,"irgendein, jeder, niemand",3887,NOBODY
172_bischofsamt,Bischofsamt,,
173_bischof,Bischof,,
174_brief,Brief,1612,LETTER
175_fruh,früh,672,EARLY
176_gesandtersein,Gesandter sein,,
177_langsteherfruher,"längst, eher, früher",,
178_vorfahre,Vorfahre,,
180_lauterkeitechtheitreinheit,"Lauterkeit, Echtheit, Reinheit",,
182_grogewaltig,"groß, gewaltig",1202,BIG
183_erdelanderdreicherdboden,"Erde, Land, Erdreich, Erdboden",1228,EARTH (SOIL)
184_vonirdischerabkunftvondererdestammendirdisch,"von irdischer Abkunft, von der Erde stammend, irdisch",,
185_irdischirden,"irdisch, irden",,
186_botegesandtschaftabgesandter,"Bote, Gesandtschaft, Abgesandter",,
187_irreirrlehreirrtum,"Irre, Irrlehre, Irrtum",,
188_irregefuhrtirreverfuhrt,"irre geführt, irre, verführt",,
189_irrlehreirreirrtum,"Irrlehre, Irre, Irrtum",,
190_irrefuhrenirremachenverfuhrenverfuhrer,"irreführen, irre machen, verführen, Verführer",,
191_fragenfordern,"fragen, fordern",1309,ASK (INQUIRE)
192_sichscheuenvor,sich scheuen vor,,
193_mutter,Mutter,1216,MOTHER
194_eid,Eid,,
195_oderwonichtsonstwenigstens,"oder, wo nicht, sonst, wenigstens",1014,OR
196_immerjederzeit,"immer, jederzeit",1676,ALWAYS
198_evangelist,Evangelist,,
199_dasevangeliumverkunden,das Evangelium verkünden,,
200_evangeliumfrohebotschaft,"Evangelium, frohe Botschaft",,
202_schandeschmach,"Schande, Schmach",,
203_schandlichhandeln,schändlich handeln,,
204_schandlich,schändlich,,
205_segenspende,"Segen, Spende",,
206_zeitewigkeit,"Zeit, Ewigkeit",892,TIME
207_dankdanksagung,"Dank, Danksagung",,
208_erzerzmunze,"Erz, Erzmünze",,
209_scheuachtungehre,"Scheu, Achtung, Ehre",,
210_erzschmiedmetallarbeiter,"Erzschmied, Metallarbeiter",,
211_ewigkeit,Ewigkeit,,
212_ewig,ewig,,
213_sondernabergeh,"sondern, aber, geh",3843,BUT
214_gehenfahrenziehen,"gehen, fahren, ziehen",1455,PULL
215_aber,aber,3843,BUT
216_essig,Essig,,
217_fruchtertrag,"Frucht, Ertrag",1507,FRUIT
218_kornlosfruchtlosunfruchtbar,"kornlos, fruchtlos, unfruchtbar",,
219_acker,Acker,212,FIELD
220_allganzvollig,"all, ganz, völlig",2277,WHOLE
221_salbenbuchse,Salbenbüchse,,
222_brandopfer,Brandopfer,,
223_gesamt,gesamt,,
224_insgesamtgesamtzusammen,"insgesamt, gesamt, zusammen",2482,TOGETHER
225_gesamtheitdermenschenallemenschen,"Gesamtheit der Menschen, alle Menschen",,
226_wachsensichnahrenaufwachsen,"wachsen, sich nähren, aufwachsen",479,GROW
227_alldarbendanallemmangelleidendganzarm,"alldarbend, an allem Mangel leidend, ganz arm",,
228_allodvollgutgut,"Allod, Vollgut, Gut",1035,GOOD
229_albdamon,"Alb, Dämon",,
233_menschenalterzeit,"Menschenalter, Zeit",892,TIME
235_elle,Elle,,
237_olbaum,Ölbaum,,
238_ol,Öl,1484,OIL (ORGANIC SUBSTANCE)
239_gott,Gott,3231,DEITY
240_tempelhain,"Tempel, Hain",,
245_gemastet,gemästet,,
246_erle,Erle,,
247_auer,außer,,
248_anderswoherstammendgegendienaturvoneinemanderengeschlechtvonfremderabkunftfremd,"anderswoher stammend, gegen die Natur, von einem anderen Geschlecht, von fremder Abkunft, fremd",109,FOREIGN
250_andersgebildetallegorischbildlichandersgemeint,"anders gebildet, allegorisch, bildlich, anders gemeint",,
252_masten,mästen,,
253_eifer,Eifer,,
254_eiferneifernfur,"eifern, eifern für",,
255_anderswo,anderswo,,
256_anderswohin,anderswohin,,
257_anderswoher,anderswoher,,
258_andere,andere,197,OTHER
259_vollig,völlig,,
260_volligvollstandigganzundgar,"völlig, vollständig, ganz und gar",,
261_vonallenseiten,von allen Seiten,,
262_allwirkendvollkommen,"allwirkend, vollkommen",,
263_redlichkeit,Redlichkeit,,
264_redlich,redlich,,
